gene	mid	chrom	start	end
SS18L2	535079963	3	42623330	42636608
NKTR	535116160.5	3	42642104	42690229
ZBTB47	535151255	3	42695174	42707348
KLHL40	535180517.5	3	42727009	42734038
HHATL	535189231	3	42734153	42744321
CCDC13	535232247	3	42749759	42814747
HIGD1A	535286328.5	3	42826742	42845927
ACKR2	535329865.5	3	42850966	42908777
ZNF662	535403066.5	3	42947656	42958489
KRBOX1	535431313	3	42978352	42984286
FAM198A	535510102	3	43021038	43099178
SNRK	535810325	3	43328030	43392632
ANO10	535985444	3	43407338	43663562
ABHD5	536196445.5	3	43732360	43760543
TOPAZ1	536778478	3	44283376	44373592
TCAIM	536865437.5	3	44379942	44450945
ZNF445	536950206	3	44481260	44519164
ZNF852	536996289	3	44540460	44552130
ZKSCAN7	537055169	3	44596698	44613652
ZNF660	537083815	3	44626454	44641188
ZNF197	537128611	3	44670478	44686756
ZNF35	537146244	3	44690217	44702283
RP11-944L7.4	537112991	3	44598847	44727147
ZNF502	537209724.5	3	44754136	44765325
ZNF501	537224825.5	3	44771086	44778577
KIAA1143	537246690	3	44790236	44803156
KIF15	537298975	3	44803207	44894755
TMEM42	537355255.5	3	44903359	44907164
TGM4	537386286.5	3	44916101	44956484
ZDHHC3	537442000	3	44966336	45017676
EXOSC7	537485336	3	45017720	45052964
CLEC3B	537522613	3	45067673	45077565
CDCP1	537605836	3	45123768	45187916
LARS2	537960477	3	45430051	45590915
LIMD1	538132084.5	3	45636349	45727832
SACM1L	538208829	3	45730752	45786918
SLC6A20	538267478.5	3	45796940	45838029
LZTFL1	538324227	3	45864806	45883660
CCR9	538386325.5	3	45927994	45944669
FYCO1	538448345.5	3	45959394	46037309
XCR1	538513869	3	46058514	46069236
CCR3	538746028.5	3	46283870	46308199
CCR2	538848817.5	3	46395233	46402414
RP11-24F11.2	538877492	3	46406444	46448552
LTF	538941888.5	3	46477134	46506655
RTP3	538990704	3	46538979	46542441
LRRC2	539032470.5	3	46556911	46608042
TDGF1	539071334	3	46618725	46623955
ALS2CL	539172929	3	46710677	46735193
TMIE	539197593.5	3	46742821	46752378
PRSS50	539253829.5	3	46753605	46854066
PRSS45	539235036.5	3	46783838	46786247
PRSS42	539323733.5	3	46871892	46875587
MYL3	539352141	3	46899360	46904934
PTH1R	539385059.5	3	46924845	46945286
CCDC12	539443338	3	46963214	47023474
NBEAL2	539486177	3	47021171	47051195
SETD2	539581812	3	47058177	47205459
KIF9-AS1	539697033	3	47205985	47288093
KIF9	539746920.5	3	47269514	47324339
KLHL18	539806365	3	47324434	47388308
PTPN23	539888714.5	3	47422508	47454933
SCAP	539936397	3	47455201	47517605
ELP6	539996184.5	3	47537128	47555253
CSPG5	540062999.5	3	47603727	47622284
SMARCC1	540175078.5	3	47626760	47823409
DHX30	540318044.5	3	47844416	47891685
MAP4	540462054	3	47893356	48130764
CDC25A	540664235	3	48198634	48229848
CAMP	540715903	3	48264835	48266983
ZNF589	540747527.5	3	48282588	48312479
NME6	540788795	3	48334752	48342850
SPINK8	540809077.5	3	48348334	48369833
FBXW12	540874943.5	3	48413707	48436192
PLXNB1	540908061.5	3	48445261	48470874
CCDC51	540927521.5	3	48473578	48481477
TMA7	540933635.5	3	48481665	48485618
ATRIP	540947589.5	3	48488135	48507056
TREX1	540958129	3	48507227	48509043
SHISA5	540975524.5	3	48509195	48541866
PFKFB4	541024714	3	48555115	48594325
UCN2	541050177	3	48599158	48601208
COL7A1	541067097	3	48601504	48632702
UQCRC1	541091947	3	48636434	48647472
SLC26A6	541118010	3	48663156	48672876
CELSR3	541137119	3	48673900	48700350
NCKIPSD	541167312.5	3	48711275	48723362
IP6K2	541190053.5	3	48725434	48754685
PRKAR2A	541284639.5	3	48784010	48885281
SLC25A20	541365391.5	3	48894367	48936428
ARIH2	541440028.5	3	48956252	49023817
P4HTM	541485929	3	49027320	49044550
WDR6	541498934.5	3	49044493	49053388
DALRD3	541504456.5	3	49052919	49056006
NDUFAF3	541509680	3	49058442	49060930
IMPDH2	541514284.5	3	49061756	49066825
QRICH1	541549462	3	49067138	49131798
QARS	541587928.5	3	49133363	49142506
USP19	541602219	3	49146184	49158266
LAMB2	541614543	3	49158545	49170553
CCDC71	541651855	3	49199966	49203756
KLHDC8B	541661474.5	3	49209042	49213919
C3orf84	541672172	3	49215063	49229293
CCDC36	541715922.5	3	49236318	49295539
C3orf62	541760774.5	3	49306217	49315344
USP4	541796515.5	3	49315537	49377506
GPX1	541845315	3	49394607	49396035
RHOA	541873100.5	3	49396576	49449637
TCTA	541901767.5	3	49449637	49453910
AMT	541907193	3	49454210	49460188
NICN1	541913563	3	49460377	49466761
DAG1	541990300.5	3	49507563	49573050
BSN	542100444	3	49591920	49708980
APEH	542166409.5	3	49711433	49721398
MST1	542173927	3	49721378	49726488
RNF123	542192940	3	49726930	49758962
AMIGO3	542207807	3	49754275	49761351
GMPPB	542209364.5	3	49757355	49761386
IP6K1	542242837.5	3	49761725	49823962
CDHR4	542282703.5	3	49828163	49837256
FAM212A	542291569	3	49840685	49842465
UBA7	542297003.5	3	49842638	49851381
TRAIP	542330011	3	49866032	49894002
CAMKV	542351532.5	3	49895420	49907657
MST1R	542382746.5	3	49924433	49941072
MON1A	542406934	3	49946300	49967580
RBM6	542496068.5	3	49977464	50114685
RBM5	542591391.5	3	50126339	50156456
SEMA3F	542659529	3	50192560	50226510
GNAT1	542681491	3	50229043	50233951
SLC38A3	542700539	3	50242677	50258413
GNAI2	542735079.5	3	50273382	50296789
SEMA3B-AS1	542754432	3	50304071	50304805
SEMA3B	542760518	3	50306436	50314612
LSMEM2	542770995.5	3	50316456	50325547
IFRD2	542777536.5	3	50325186	50329899
HYAL3	542783574.5	3	50330260	50336901
NAT6	542785334	3	50333831	50336849
HYAL1	542789156	3	50337319	50341005
HYAL2	542807711	3	50355219	50360215
TUSC2	542814000	3	50362336	50365676
RASSF1	542822739.5	3	50367217	50378274
ZMYND10	542831406	3	50378539	50384285
NPRL2	542836714.5	3	50384917	50388524
CYB561D2	542839870	3	50388287	50391465
CACNA2D2	542921469.5	3	50402095	50540856
C3orf18	543050316	3	50595460	50605184
HEMK1	543064491	3	50606626	50622368
CISH	543096559	3	50643925	50649205
MAPKAPK3	543118023.5	3	50649337	50686722
DOCK3	543517144.5	3	50712670	51421631
MANF	543874647	3	51422476	51426830
VPRBP	543926557.5	3	51435271	51517856
RAD54L2	544089133.5	3	51575594	51702685
TEX264	544171779	3	51705269	51738301
GRM2	544196750	3	51741084	51752428
IQCF3	544308240	3	51851618	51864874
IQCF2	544346541	3	51895652	51897442
IQCF1	544383115.5	3	51928890	51937353
RRP9	544421695.5	3	51967444	51975959
PARP3	544429620.5	3	51976373	51982880
GPR62	544440413.5	3	51989328	51991511
PCBP4	544446461.5	3	51991472	52001463
ABHD14B	544459969.5	3	52002524	52017427
ABHD14A	544462142	3	52009082	52015214
ACY1	544470314	3	52017476	52023164
ABHD14A-ACY1	544466127	3	52009074	52023192
RPL29	544478755.5	3	52027642	52029881
DUSP7	544536744.5	3	52082933	52090568
LINC00696	544547315.5	3	52097074	52097569
POC1A	544598842.5	3	52109267	52188430
ALAS1	544690220.5	3	52232108	52248345
TLR9	544710145	3	52255094	52265208
TWF2	544717945	3	52262624	52273278
PPM1M	544732413	3	52280223	52284615
WDR82	544750542	3	52288435	52312661
GLYCTK	544774676	3	52321870	52327494
DNAH1	544842415	3	52350333	52434509
BAP1	544889691.5	3	52435027	52444368
PHF7	544901159	3	52444671	52457659
SEMA3G	544923050	3	52467067	52479045
TNNC1	544936596	3	52485116	52488088
NISCH	544958299.5	3	52489522	52527089
STAB1	544993926.5	3	52529352	52558513
NT5DC2	545013093	3	52558403	52567795
PBRM1	545100848.5	3	52581855	52719854
GNL3	545174216	3	52719934	52728510
GLT8D1	545184272	3	52728506	52740050
SPCS1	545190911	3	52739650	52742184
NEK4	545224876.5	3	52744798	52804967
ITIH1	545268837	3	52811606	52826080
ITIH3	545285913.5	3	52828812	52843027
ITIH4	545305867	3	52846989	52864757
TMEM110-MUSTN1	545349366	3	52867164	52931580
TMEM110	545351186	3	52870770	52931614
SFMBT1	545458830	3	52937586	53080086
RFT1	545593482.5	3	53122497	53164480
PRKCD	545660928.5	3	53195134	53226735
TKT	545724849.5	3	53259671	53290040
DCP1A	545799544.5	3	53317445	53381656
CACNA1D	546138412	3	53529074	53847762
CHDH	546313383.5	3	53846360	53880419
IL17RB	546340211	3	53880605	53899829
ACTR8	546358655	3	53901091	53916231
SELK	546372220	3	53918435	53926017
CACNA2D3	547082632.5	3	54156691	55108586
LRTM1	547407176.5	3	54952262	54962103
RP11-875H7.1	547827210.5	3	55369488	55384945
WNT5A	547961852	3	55499741	55523975
ERC2	548472357.5	3	55542334	56502393
CCDC66	549073507	3	56591199	56655827
FAM208A	549136899.5	3	56656764	56717047
ARHGEF3	549387385	3	56761444	57113338
IL17RD	549611700.5	3	57124008	57199405
HESX1	549682957.5	3	57231942	57233985
APPL1	549734624.5	3	57261763	57307498
ASB14	549764536.5	3	57302373	57326712
DNAH12	549878893	3	57327725	57530073
PDE12	549997281.5	3	57542002	57552573
ARF4	550020106.5	3	57557088	57583137
DENND6A	550094994	3	57611182	57678818
SLMAP	550278420	3	57741955	57914897
FLNB	550525308	3	57994125	58156503
DNASE1L3	550639370	3	58178352	58200400
ABHD6	550701840	3	58223231	58280461
RPP14	550751199.5	3	58291987	58310424
PXK	550814736.5	3	58318605	58410880
PDHB	550866462	3	58413355	58419581
KCTD6	550935787.5	3	58483498	58488089
ACOX2	550956948.5	3	58490861	58523048
FAM107A	551006661.5	3	58549842	58563493
RP11-475O23.3	551056481	3	58592805	58620169
FAM3D	551086118	3	58619671	58652577
C3orf67	551331765.5	3	58727731	59035812
RP11-719N22.2	551923224	3	59450054	59496406
FHIT	552937127	3	59737131	61237135
PTPRG	554365430.5	3	61547583	62283290
PTPRG-AS1	554758719.5	3	62262448	62355003
C3orf14	554763297	3	62304716	62321890
FEZF2	554807268.5	3	62355357	62359192
CADPS	555072532	3	62384020	62861056
LINC00698	555473436	3	62936144	63110740
SYNPR	555883192	3	63263797	63602599
SNTN	556094364.5	3	63638342	63650399
AC136289.1	556242385.5	3	63771660	63813123
C3orf49	556269669	3	63805036	63834314
THOC7	556284556.5	3	63819544	63849581
ATXN7	556369675	3	63850231	63989131
PSMD6	556452724.5	3	63996223	64009238
U3	534422429.5	3	19887174	64057697
LINC00994	556518532	3	64064035	64073041
PRICKLE2	556595331	3	64079541	64211133
ADAMTS9	557037577	3	64501488	64673678
ADAMTS9-AS2	557265892	3	64670583	64961213
RP11-543A18.1	557619897.5	3	65160631	65179176
MAGI1	558133012	3	65342051	66023985
SLC25A26	558724312	3	66119283	66429353
LRIG1	558940282.5	3	66429219	66551358
KBTBD8	559505176.5	3	67048729	67061636
SUCLG2	560007953	3	67410882	67705036
RP11-81N13.1	560301653.5	3	67705180	67998139
FAM19A1	560774061.5	3	68053357	68594778
FAM19A4	561331333	3	68780915	68981763
EOGT	561493565	3	69024366	69062776
TMF1	561535210	3	69068976	69101456
UBA3	561566714	3	69103879	69129561
ARL6IP5	561594650	3	69134093	69155219
LMOD3	561613864	3	69156021	69171719
FRMD4B	561777176.5	3	69219139	69435226
MITF	562353030.5	3	69788584	70017489
RP11-231I13.2	562753955	3	70246043	70361879
FOXP1	563768486	3	71003842	71633142
FOXP1-AS1	563796956	3	71338918	71355006
MIR1284	564041174.5	3	71591119	71591242
EIF4E3	564199540.5	3	71724565	71774528
GPR27	564254418	3	71803199	71805649
PROK2	564277726	3	71821250	71834214
LINC00877	564567008.5	3	72084449	72149580
RP11-433A10.2	564705563	3	72252093	72259045
RYBP	564908516.5	3	72420974	72496071
RP11-654C22.2	565026824	3	72553955	72599705
SHQ1	565298024.5	3	72798428	72897633
GXYLT2	565431644.5	3	72937222	73026079
PPP4R2	565532137	3	73045934	73118352
EBLN2	565561643	3	73110808	73112490
PDZRN3	566002831.5	3	73431582	73674093
RP11-20B7.1	566354878.5	3	73857750	73952019
CNTN3	566890999	3	74311717	74570293
FAM86DP	567927452	3	75470715	75484201
RP11-803B1.8	567945562	3	75484497	75506639
MIR1324	568129955.5	3	75679912	75680011
FRG2C	568164920	3	75713479	75716373
ZNF717	568260136	3	75786027	75834257
ROBO2	569276247.5	3	75955844	77696663
RP11-354H21.1	570541894.5	3	78087854	78095947
RP11-314M24.1	570778209.5	3	78316088	78340343
ROBO1	571681672	3	78646389	79816967
RP11-47P18.2	573276270.5	3	80814046	80838507
GBE1	574125075	3	81538848	81811314
RP11-359D24.1	574380849	3	81889696	81972014
RP11-260O18.1	574724051.5	3	82035287	82512828
LINC00971	577253135.5	3	84687555	84918728
CADM2	578015849.5	3	85008130	86123581
RP11-789F5.1	578765102	3	86313703	86316513
VGLL3	579463682	3	86987117	87040259
CHMP2B	579740560.5	3	87276433	87304700
POU1F1	579767266.5	3	87308889	87325656
HTR1F	580491376.5	3	88039844	88042921
ZNF654	580641028.5	3	88188252	88193817
C3orf38	580652999.5	3	88198891	88207120
EPHA3	581793973	3	89156672	89531286
PROS1	586092389.5	3	93591879	93692912
ARL13B	586185989.5	3	93698991	93773000
STX19	586190327.5	3	93733211	93747456
DHFRL1	586229411.5	3	93776766	93782069
NSUN3	586264568.5	3	93781758	93847391
LINC00879	587133633.5	3	94657105	94710174
MTHFD2P1	587837646	3	95373265	95402039
MTRNR2L12	588786484.5	3	96335979	96337002
EPHA6	589450751.5	3	96533428	97468087
ARL6	589950366.5	3	97483370	97517375
CRYBG3	590052339.5	3	97540882	97663809
MINA	590125975.5	3	97660660	97691303
OR5AC2	590256475.5	3	97806015	97806948
RP11-343D2.11	590292859	3	97818750	97866980
RP11-325B23.2	590514612.5	3	97952493	98176744
OR5K3	590559986.5	3	98109508	98110477
OR5K2	590666966	3	98216446	98217498
CLDND1	590688108	3	98234316	98241912
CPOX	590755420.5	3	98298284	98312569
ST3GAL6	590932397	3	98451570	98513236
DCBLD2	591017653	3	98514783	98620535
CTD-2021J15.1	591129331	3	98621266	98737408
COL8A1	591887688.5	3	99357317	99518072
CMSS1	592167056.5	3	99536676	99897449
FILIP1L	592142666.5	3	99551986	99833359
TBC1D23	592461963	3	99979854	100044084
NIT2	592514621.5	3	100053543	100075712
TOMM70A	592551252.5	3	100082273	100120244
LNP1	592597594	3	100120035	100175165
TMEM45A	592703869.5	3	100211461	100296290
GPR128	592821372	3	100328431	100414325
TFG	592898033.5	3	100428267	100467812
ABI3BP	593040263	3	100468177	100712361
IMPG2	593440391	3	100941388	101039406
SENP7	593587532.5	3	101043047	101232030
TRMT10C	593732992	3	101280704	101285292
PCNP	593753104	3	101292937	101313283
ZBTB11	593832030	3	101367731	101396341
RPL24	593852775	3	101399934	101405628
CEP97	593916081.5	3	101442767	101489408
NXPE3	593975652.5	3	101504242	101547075
NFKBIZ	594024106	3	101568356	101579868
RP11-221J22.1	594138230.5	3	101659701	101716772
ZPLD1	594626266	3	102153857	102198687
ALCAM	597640742.5	3	105085751	105295746
CBLB	597931090	3	105374303	105587889
LINC00882	599207562.5	3	106555656	106959481
CCDC54	599546828.5	3	107096186	107097483
RP11-115H18.1	599616262	3	107149775	107182761
BBX	599833259.5	3	107241821	107524710
LINC00635	600028526.5	3	107560148	107596917
LINC00636	600074918.5	3	107602093	107647756
CD47	600237888.5	3	107765926	107809863
RP11-861A13.4	600301056.5	3	107844666	107857459
IFT57	600360532	3	107879657	107941419
HHLA2	600509226	3	108021330	108097134
MYH15	600623686.5	3	108099214	108248171
KIAA1524	600738501.5	3	108268714	108308301
DZIP3	600811105	3	108308527	108413695
RETNLB	600925351.5	3	108474482	108476233
TRAT1	601007692.5	3	108541543	108573854
GUCA1C	601099690	3	108626648	108672744
MORC1	601207031.5	3	108677084	108836991
RP11-59E19.1	601312259.5	3	108855559	108868972
LINC00488	601350552	3	108897010	108904106
DPPA2	601473993.5	3	109012633	109035366
DPPA4	601500697.5	3	109044986	109056421
RP11-702L6.4	601621419.5	3	109128835	109214016
RP11-457K10.1	601898325	3	109366952	109529710
PVRL3-AS1	603151500	3	110612610	110790402
PVRL3	603301482	3	110790588	110912388
RP11-615J4.3	603650545	3	111185158	111215944
CD96	603766020.5	3	111260963	111371090
ZBED2	603763012.5	3	111311745	111314292
PLCXD2	603929435	3	111393767	111565115
PHLDB2	604086689.5	3	111578025	111695366
ABHD10	604155040	3	111697880	111712212
TAGLN3	604175154	3	111717584	111732736
TMPRSS7	604229276.5	3	111758551	111800014
C3orf52	604271121.5	3	111805180	111837075
GCSAM	604297016	3	111841941	111852103
SLC9C1	604386413.5	3	111859732	112013107
RP11-90K6.1	604486475.5	3	112021323	112051640
CD200	604516485	3	112052001	112080981
BTLA	604650605.5	3	112182813	112218410
ATG3	604716077	3	112251354	112280812
SLC35A5	604742634.5	3	112280855	112304426
CCDC80	604791755.5	3	112323405	112360118
RP11-180K7.1	604976489.5	3	112521323	112531668
CD200R1L	604999670.5	3	112534554	112564799
CD200R1	605117747	3	112641535	112693971
GTPBP8	605164971	3	112709763	112720191
C3orf17	605179980.5	3	112721285	112738688
RP11-572M11.4	605270257.5	3	112738377	112902150
RP11-572M11.1	605226018.5	3	112769757	112782292
SNORD112	551668144.5	3	5579411	112856890
BOC	605418307.5	3	112930327	113006300
WDR52	605533063	3	113005775	113160363
SPICE1	605647778	3	113161563	113234005
SIDT1	605749778	3	113251141	113348427
KIAA2018	605841356.5	3	113367230	113415495
NAA50	605900208	3	113435305	113465123
ATP6V1A	605948378.5	3	113465864	113530905
GRAMD1C	606061637	3	113557263	113666023
ZDHHC23	606124282.5	3	113666746	113681831
KIAA1407	606179216	3	113682982	113775462
QTRTD1	606241383	3	113775580	113807198
DRD3	606322722	3	113847555	113897901
RP11-553L6.2	606394138.5	3	113933236	113955053
TIGIT	606469536	3	114009947	114029137
ZBTB20	606529988	3	114057498	114102490
RP11-190P13.2	607437112.5	3	114970041	115004196
GAP43	607841341	3	115342355	115440339
LSAMP	608292800.5	3	115521233	116164380
RP11-384F7.1	610450084.5	3	117723664	118276517
IGSF11	611192180	3	118619472	118864900
C3orf30	611317643.5	3	118864995	118870304
UPK1B	611358176.5	3	118892363	118924002
B4GALT4	611395026.5	3	118930577	118959488
ARHGAP31	611526384.5	3	119013218	119139563
TMEM39A	611615432	3	119148345	119182531
POGLUT1	611650664	3	119187783	119213557
TIMMDC1	611680652	3	119217377	119243939
CD80	611710788.5	3	119243138	119278451
ADPRH	611753447.5	3	119298113	119308794
PLA1A	611782667.5	3	119316687	119348660
POPDC2	611820165.5	3	119360904	119379439
COX17	611842178	3	119388116	119396252
MAATS1	611903903	3	119421867	119485951
NR1I2	611969438.5	3	119501555	119537334
GSK3B	612129017	3	119545531	119812515
GPR156	612394128.5	3	119884326	120003943
LRRC58	612505765	3	120043354	120068188
RP11-174O3.3	612527595	3	120068355	120086847
FSTL1	612590614	3	120111138	120170102
NDUFB4	612768245.5	3	120315154	120321349
HGD	612824213	3	120347018	120401420
RABL3	612883450	3	120405526	120461386
GTF2E1	612931741.5	3	120461577	120501918
STXBP5L	613335257.5	3	120626917	121143610
POLQ	613657559.5	3	121150276	121264855
ARGFX	613747510	3	121289549	121305483
FBXO40	613780546.5	3	121311964	121349141
HCLS1	613814996	3	121350244	121379760
GOLGB1	613875312.5	3	121382048	121468589
IQCB1	613971262	3	121488608	121553928
EAF2	614029711.5	3	121554060	121605375
SLC15A2	614087936.5	3	121612934	121662951
ILDR1	614173897.5	3	121706754	121741053
CD86	614257096	3	121774219	121839985
CASR	614404255.5	3	121903179	122005344
CSTA	614502449	3	122044089	122060821
CCDC58	614540252	3	122078436	122102080
FAM162A	614567099	3	122103027	122131183
WDR5B	614582792.5	3	122130713	122134884
KPNA1	614637279.5	3	122140794	122233777
PARP9	614715109	3	122246804	122283426
DTX3L	614738561.5	3	122283083	122294052
PARP15	614775718.5	3	122296447	122355002
PARP14	614874570	3	122399463	122449689
HSPBAP1	614935754.5	3	122458848	122512673
DIRC2	615006808	3	122513640	122599988
SEMA5B	615111740	3	122628509	122694983
PDIA5	615283428	3	122785915	122880953
SEC22A	615406885	3	122920803	122992979
ADCY5	615534868	3	123001141	123168607
PTPLB	615707210.5	3	123210399	123304034
MYLK	615917141	3	123331143	123603151
MYLK-AS1	615777029.5	3	123304401	123349670
CCDC14	616106859	3	123633164	123680566
ROPN1	616148777.5	3	123687366	123710201
KALRN	616579344	3	123813526	124445174
RP11-71H17.7	616893897.5	3	124442633	124445174
UMPS	616906620.5	3	124449211	124464042
ITGB5	616993463.5	3	124480793	124606146
MUC13	617088936	3	124624287	124653597
HEG1	617179672	3	124684552	124774804
SLC12A8	617315856.5	3	124801480	124930245
ZNF148	617469295.5	3	124944403	125094200
SNX4	617652262	3	125165493	125239043
OSBPL11	617730812	3	125247700	125313936
RP11-379B18.5	618043791.5	3	125581415	125606180
FAM86JP	618092164	3	125635471	125648869
ALG1L	618101994	3	125648116	125655884
ROPN1B	618145136	3	125687985	125702299
SLC41A3	618214175.5	3	125725214	125803149
ALDH1L1	618311214.5	3	125822410	125900031
KLF15	618518875.5	3	126061476	126076287
CCDC37	618584584	3	126113780	126155400
ZXDC	618625597	3	126156442	126194764
UROC1	618668641	3	126200696	126236598
CHST13	618702624	3	126243124	126262136
C3orf22	618723156	3	126268514	126277810
TXNRD3NB	618759005.5	3	126290623	126327400
NUP210P1	618835847	3	126380922	126390784
CHCHD6	619001150	3	126423061	126679251
PLXNA1	619181830	3	126707435	126756237
RP11-88I21.2	619525325.5	3	127041148	127109515
RP11-59J16.1	619677588	3	127199531	127255657
TPRA1	619750765	3	127291928	127309614
MCM2	619779165	3	127317064	127341278
PODXL2	619819832	3	127348022	127391654
ABTB1	619845765.5	3	127391781	127399762
MGLL	619924800	3	127407909	127541703
KBTBD12	620120286	3	127634073	127706511
SEC61A1	620230862.5	3	127771210	127790527
RUVBL1	620271229	3	127799801	127842669
EEFSEC	620449885	3	127872295	128127487
GATA2	620655143	3	128198268	128212030
C3orf27	620742880	3	128290841	128294931
RPN1	620804248.5	3	128338815	128369694
RAB7A	620939296	3	128444963	128533641
RP11-723O4.2	621032412	3	128580387	128584449
ACAD9	621065199.5	3	128598452	128631959
KIAA1257	621149189	3	128685430	128712960
EFCC1	621190021.5	3	128720470	128759585
GP9	621230423.5	3	128779608	128781251
RAB43	621273516.5	3	128806410	128840635
ISY1-RAB43	621293142.5	3	128806416	128879881
ISY1	621314048	3	128848215	128879893
CNBP	621345843	3	128888943	128902755
COPG1	621432525.5	3	128968447	128996616
HMCES	621461350	3	128997681	129025031
H1FX-AS1	621491002.5	3	129036947	129045070
SNORA7B	621566116	3	129116051	129116193
EFCAB12	621583823	3	129120162	129147496
MBD4	621604316.5	3	129149791	129158854
IFT122	621649079	3	129158980	129239190
RHO	621700741.5	3	129247481	129254014
H1FOO	621716124.5	3	129262055	129270206
PLXND1	621749833.5	3	129274016	129325663
TMCC1	621932966	3	129366633	129599311
TMCC1-AS1	622070228	3	129612712	129627756
RP11-93K22.6	622130536.5	3	129672946	129688139
TRH	622144958.5	3	129693146	129696783
ALG1L2	622259012.5	3	129800802	129817235
FAM86HP	622275935.5	3	129821605	129830278
RP11-77P16.4	622285452.5	3	129831493	129839424
COL6A4P2	622398873.5	3	129933071	129964688
COL6A5	622584017.5	3	130064357	130203690
COL6A6	622788082.5	3	130279176	130397001
PIK3R4	622881720	3	130397777	130465675
ATP2C1	623102419	3	130569448	130735402
ASTE1	623189176.5	3	130732717	130745648
NEK11	623357509	3	130745725	131069305
RP11-933H2.4	623522121.5	3	131043934	131100321
NUDT16P1	623532348	3	131080740	131083968
NUDT16	623551450	3	131100627	131102285
MRPL3	623651428.5	3	131181054	131221815
CPNE4	624078325.5	3	131252407	132004256
ACPP	624511690.5	3	132036249	132087144
DNAJC13	624647117	3	132136368	132257878
ACAD11	624778271.5	3	132276986	132379569
UBA5	624837543	3	132378308	132396790
NPHP3	624870873	3	132400470	132441288
NPHP3-AS1	624967120.5	3	132441184	132593069
TMEM108	625386929.5	3	132757233	133116638
BFSP2	625606432	3	133118837	133194039
CDV3	625750833.5	3	133292572	133309107
TOPBP1	625800071	3	133319415	133380739
TFP1	625877125	3	133380840	133473422
TF	625931319	3	133464798	133497852
SRPRB	625971600.5	3	133502875	133540338
RAB6B	626028865.5	3	133543081	133614662
SLCO2A1	626150224	3	133651538	133748922
RYK	626372730	3	133875976	133969496
RP11-200A1.1	626486209.5	3	134032416	134040015
AMOTL2	626534070	3	134074714	134093438
ANAPC13	626650700.5	3	134196546	134204867
CEP63	626694377.5	3	134204895	134283872
KY	626795988	3	134322122	134369866
EPHB1	627196700.5	3	134514102	134979311
PPP2R3A	628225618	3	135684513	135866735
PCCB	628459100.5	3	135969199	136049014
STAG1	628713137.5	3	136055075	136471212
SLC35G2	629006291.5	3	136537859	136574736
NCK1	629074503	3	136581048	136667970
IL20RB	629153311	3	136676705	136729929
SOX14	629933981.5	3	137483577	137484398
RP11-2A4.3	629945249.5	3	137490789	137499722
CLDN18	630185029.5	3	137717575	137752496
DZIP1L	630257635.5	3	137780830	137834453
A4GNT	630296888.5	3	137842558	137851231
DBR1	630336816.5	3	137879852	137893793
ARMC8	630410744	3	137906107	138015393
NME9	630464497.5	3	137980277	138048730
MRAS	630545451	3	138066537	138124377
ESYT3	630625349.5	3	138153453	138197258
CEP70	630713186	3	138213184	138313200
FAIM	630789828.5	3	138327449	138352220
PIK3CB	630913221	3	138372858	138553596
C3orf72	631119178.5	3	138666074	138672295
MRPS22	631350262	3	138724646	139075890
COPB2	631542405	3	139076246	139108576
RP11-319G6.1	631585925	3	139108655	139163207
RBP2	631633536	3	139171724	139195360
RBP1	631697467.5	3	139236274	139258673
NMNAT3	631787937	3	139279025	139396861
CLSTN2	632425127	3	139654025	140296241
TRIM42	632858430.5	3	140396879	140419994
SLC25A36	633128104.5	3	140660727	140695494
SPSB4	633268842.5	3	140770242	140867455
ACPL2	633432203	3	140950668	141013750
ZBTB38	633587638	3	141106652	141168636
RASA2	633720031.5	3	141205889	141334186
RNF7	633911718	3	141457044	141466404
GRK7	633967155	3	141496988	141537334
ATP1B3	634070385	3	141595454	141645328
TFDP2	634219170	3	141669987	141868365
GK5	634363610.5	3	141882782	141944451
XRN1	634546170.5	3	142025447	142166906
ATR	634682867.5	3	142168077	142297670
PLS1	634837358.5	3	142342226	142432503
TRPC1	634934087	3	142442914	142525272
PCOLCE2	635022372	3	142536709	142608047
RP11-372E1.6	635151864	3	142683337	142720403
U2SURP	635199878.5	3	142720379	142779390
PBX2P1	635346210	3	142895125	142897307
SLC9A9	635725712.5	3	142984062	143567375
C3orf58	636150914.5	3	143690638	143711203
RP11-88H10.3	638130470	3	145679540	145681412
PLOD2	638283084.5	3	145787225	145878956
PLSCR4	638389540	3	145910124	145968968
RP11-758I14.3	638571764	3	146109148	146134392
PLSCR2	638619154	3	146151230	146187090
PLSCR1	638697803	3	146232965	146262653
PLSCR5	638763808	3	146303623	146324005
RP11-649A16.1	639307951.5	3	146627470	147088445
ZIC4	639562947	3	147103833	147122073
ZIC1	639580832.5	3	147127169	147134508
RP11-501O2.1	640277985	3	147810960	147845022
RP11-501O2.3	640361534	3	147878696	147944384
RP11-501O2.4	640405694.5	3	147913514	147997887
RP11-501O2.5	640523832.5	3	148029932	148117745
AGTR1	640888217	3	148415656	148460790
CPB1	640993425.5	3	148508887	148577976
RP11-680B3.2	641073303.5	3	148568718	148677901
CPA3	641049007	3	148583041	148614985
GYG1	641177267.5	3	148709126	148745421
HLTF	641226109.5	3	148747912	148804319
HPS3	641319439	3	148847369	148891521
CP	641365058	3	148890284	148939844
RP11-206M11.7	641476998.5	3	149002567	149051442
